Position,Const,Created,Modified,Description,Name,Known For,Birth Date
47,nm0000093,2018-10-19,2018-10-19,"English, some Scots-Irish/Northern Irish, German, Scottish, Welsh, and Irish, remote Swedish, Dutch, and French",Brad Pitt,Mr. & Mrs. Smith,1963-12-18
48,nm0000307,2018-10-19,2018-10-19,"*50% English
*37.5% Ashkenazi Jewish
*6.25% Spanish
*6.25% likely Irish and French",Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,1966-05-26
49,nm0000331,2018-10-19,2018-10-19,"English, as well as Scottish, Irish, Danish, small amount of Dutch and German",Chevy Chase,National Lampoon's Vacation,1943-10-08
50,nm0000128,2018-10-19,2018-10-19,"Welsh, English, Scottish, Irish, 1/8th M?ori, 1/16th Norwegian, 1/16th Swedish, 1/32 German, possibly distant Italian",Russell Crowe,Les Misérables,1964-04-07
51,nm0000126,2018-10-19,2018-10-19,"English, German, Swiss-German, Scottish, Welsh, Irish, Scots-Irish/Northern Irish",Kevin Costner,The Postman,1955-01-18
52,nm0000558,2018-10-19,2018-10-19,"*Danish (father)
*Welsh (mother)",Leslie Nielsen,Airplane!,1926-02-11
53,nm0005377,2018-10-19,2018-10-19,"German, Irish, English, distant Dutch",Sam Rockwell,Moon,1968-11-05
54,nm0565250,2018-10-19,2018-10-19,"*69% Irish
*19% German
*12% English",Melissa McCarthy,The Heat,1970-08-26
55,nm2652716,2018-10-19,2018-10-19,"English, Irish, German, Welsh, remote Jersey/Channel Islander",Grant Gustin,The Flash,1990-01-14
56,nm0000234,2018-10-19,2018-10-19,"Afrikaner [Dutch, with some German and French Huguenot]",Charlize Theron,Monster,1975-08-07
57,nm0000982,2018-10-19,2018-10-19,"English, Swiss-German, German, Scottish, Irish, distant Welsh",Josh Brolin,Avengers: Endgame,1968-02-12
58,nm0000197,2018-10-19,2018-10-19,"*Irish, with smaller amounts of Scottish, English, Pennsylvania Dutch/German, Welsh (mother)
*unknown (biological father): either Italian, or Latvian, or Ashkenazi Jewish, or Baltic German",Jack Nicholson,Chinatown,1937-04-22
59,nm0000245,2018-10-19,2018-10-19," English, Welsh, Irish, Scottish, German, French",Robin Williams,Mrs. Doubtfire,1951-07-21
60,nm0000354,2018-10-19,2018-10-19,"*English, Scottish, distant Welsh (father)
*Finnish, Swedish, distant Norwegian (mother)",Matt Damon,Good Will Hunting,1970-10-08
61,nm0004950,2018-10-19,2018-10-19,"English, as well as Scottish, Scots-Irish/Northern Irish, German, and Swiss-German",Jennifer Garner,Alias,1972-04-17
62,nm0000417,2018-10-19,2018-10-19,"*37.5% Bohemian Czech
*25% Swedish
*25% German
*12.5% English",Crispin Glover,Back to the Future,1964-04-20
63,nm0348181,2018-10-19,2018-10-19,"Irish, Bohemian/Czech, English, German",James Gunn,Guardians of the Galaxy,1966-08-05
64,nm0004778,2018-10-19,2018-10-19,"*75% Ashkenazi Jewish
*25% Hungarian",Adrien Brody,The Pianist,1973-04-14
65,nm0000353,2018-10-19,2018-10-19,"German, English, Irish, Northern Irish, Scottish, distant Swiss-French and French",Willem Dafoe,Spider-Man,1955-07-22
66,nm0785227,2018-10-19,2018-10-19,"Armenian, English, possibly other",Andy Serkis,War for the Planet of the Apes,1964-04-20
67,nm0006969,2018-10-19,2018-10-19," English, Irish, Scottish, 1/16th Dutch",Elizabeth Banks,The Hunger Games,1974-02-10
68,nm0000140,2018-10-19,2018-10-19,"*Ashkenazi Jewish (father)
*English, Irish, Welsh, Dutch, Scottish, Belgian, French (mother)",Michael Douglas,Wall Street,1944-09-25
69,nm0000619,2018-10-19,2018-10-19,"Irish, English",Tim Roth,Rob Roy,1961-05-14
70,nm0000155,2018-10-19,2018-10-19,"African-American (including Guinea-Bissauan, Sierra Leonean, and Liberian)",Whoopi Goldberg,Ghost,1955-11-13
71,nm0001201,2018-10-19,2018-10-19,"*English (father)
*Irish, Scottish, English (mother)",Mia Farrow,Rosemary's Baby,1945-02-09
72,nm0000206,2018-10-19,2018-10-19,"*Native Hawaiian, Portuguese, English, Scottish, at least 1/16th Chinese, remote Dutch (father)
*English (mother)",Keanu Reeves,The Matrix,1964-09-02
73,nm1360270,2018-10-19,2018-10-19,"*25% Dutch Jewish [Ashkenazi Jewish and Sephardi Jewish]
*75% British Isles [English and Scottish]",Ben McKenzie,Gotham,1978-09-12
74,nm0001467,2018-10-19,2018-10-19,"English, Cajun/French, smaller amounts of Irish, German, Scottish, at least 1/512 Spanish, remote Dutch and Mi?kmaq First Nations",Jared Leto,Dallas Buyers Club,1971-12-26
75,nm0001654,2018-10-19,2018-10-19,"*50% Irish
*25% Scottish
*25% English",Ronald Reagan,The Killers,1911-02-06
76,nm0425005,2018-10-19,2018-10-19,"*African-Canadian/Black Nova Scotian, small amount of Irish (father)
*Samoan (mother)",Dwayne Johnson,Jumanji: Welcome to the Jungle,1972-05-02
77,nm1297015,2018-10-19,2018-10-19,"Swedish (paternal grandfather), German, smaller amounts of English, Irish, Scottish, Welsh, and Swiss-German",Emma Stone,La La Land,1988-11-06
78,nm0000632,2018-10-19,2018-10-19,"*Hungarian Jewish [Ashkenazi Jewish] (father)
*Syrian Jewish [Sephardi Jewish] (mother)",Jerry Seinfeld,Seinfeld,1954-04-29
79,nm0000375,2018-10-19,2018-10-19,"Ashkenazi Jewish (three eighths), as well as English, Scottish, German, Swiss-German, and Irish",Robert Downey Jr.,Iron Man,1965-04-04
80,nm0000054,2018-10-19,2018-10-19,"*English, as well as Scottish, Irish, and Welsh (mother)
*Norwegian or English, Scottish, and Irish (biological father)",Marilyn Monroe,Some Like It Hot,1926-06-01
81,nm0001401,2018-10-19,2018-10-19,"*25% Slovak
*25% German
*25% French-Canadian (approximately)
*12.5% Dutch
*12.5% Polish
*1/1024 Huron First Nations",Angelina Jolie,Maleficent,1975-06-04
82,nm0004770,2018-10-19,2018-10-19,"*50% Italian [including Sicilian, likely distant Slovenian]
*25% Slovak
*25% mix of Irish, German, French, Swiss",David Boreanaz,Angel,1969-05-16
83,nm0000493,2018-10-19,2018-10-19,"English, Irish, small amounts of Scottish, French, Dutch, and Welsh",Jack Lemmon,The Apartment,1925-02-08
84,nm0000896,2018-10-19,2018-10-19,"*Sephardi Jewish, African-Jamaican (father)
*African-Jamaican, Irish-Scottish (mother)",Harry Belafonte,Bobby,1927-03-01
85,nm0002081,2018-10-19,2018-10-19,"English, Channel Islander [Jersey], 1/8th Jewish [Ashkenazi and Sephardi], more distant Scottish and Irish",Edward Fox,The Day of the Jackal,1937-04-13
86,nm1374980,2018-10-19,2018-10-19,"Ashkenazi Jewish (paternal grandfather), English, German, Scottish, possibly around 1/16th Irish, and remote Dutch and Belgian/Flemish",Zac Efron,High School Musical 3: Senior Year,1987-10-18
87,nm0240381,2018-10-19,2018-10-19,"German, English, Scottish, Scots-Irish/Northern Irish, Welsh, French, possibly 1/16th Polish",Hilary Duff,A Cinderella Story,1987-09-28
88,nm0000630,2018-10-19,2018-10-19,"German, Swiss-German, Danish, Dutch, English, French, Norwegian, Belgian/Flemish, Scottish, and Welsh (father)
*Ashkenazi Jewish (mother)",Liev Schreiber,Spotlight,1967-10-04
89,nm0000404,2018-10-19,2018-10-19," Dutch, English, Scottish, French-Canadian, around 1/64th Italian, small amount of German, and remote Norwegian",Jane Fonda,Klute,1937-12-21
90,nm0000424,2018-10-19,2018-10-19,"Scottish (mostly), English, with distant Irish, Welsh, Cornish, and Dutch, remote French and Belgian [Walloon]",Hugh Grant,Love Actually,1960-09-09
91,nm2357847,2018-10-19,2018-10-19,"Scottish (mostly), English, with distant Irish, Welsh, Cornish, and Dutch, remote French and Belgian [Walloon]",Taylor Swift,Taylor Swift: Bad Blood,1989-12-13
92,nm0001131,2018-10-19,2018-10-19,"German, English, Scottish, remote Swedish, possibly 5/2048 Native American",Patrick Dempsey,Grey's Anatomy,1966-01-13
93,nm0147147,2018-10-19,2018-10-19,"English, Irish, some Scottish",Henry Cavill,Man of Steel,1983-05-05
94,nm0000226,2018-10-19,2018-10-19,African-American,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
95,nm0004874,2018-10-19,2018-10-19,"*Scottish, English, German, Irish, Austrian (mother)
*African-American, and possibly other (biological father)",Vin Diesel,Guardians of the Galaxy,1967-07-18
96,nm0589505,2018-10-19,2018-10-19,"*25% African-Jamaican
*25% African-American
*25% Rusyn
*12.5% Lebanese/Syrian
*12.5% Curaçaoan (mix of Dutch, French, Swedish, Hispanic, and remote Polish)",Wentworth Miller,Prison Break,1972-06-02
97,nm0000174,2018-10-19,2018-10-19,"*German, English, Welsh, Scots-Irish/Northern Irish, French Huguenot (father)
*Swedish (mother)",Val Kilmer,The Doors,1959-12-31
98,nm0971329,2018-10-19,2018-10-19,"*African-American (father)
*Thai (maternal grandfather)
*Dutch, Chinese (maternal grandmother)",Tiger Woods,Gentlemen Only Ladies Forbidden : Puddy McFadden License to Golf,1975-12-30
99,nm0000932,2018-10-19,2018-10-19,"*African-American (father)
*English, German, Irish, distant Dutch (mother)",Halle Berry,Catwoman,1966-08-14
100,nm0212832,2018-10-19,2018-10-19,"Hungarian, Puerto Rican, Arab, and African American ",Swizz Beatz,Deadpool,1978-08-30
