Title|Bechdel
Sword of Trust|True
Tall Girl|True
Tekst|False
Terminator: Dark Fate|True
Tolkien|False
Toy Story 4|True
Triple Frontier|False
Troop Zero|True
Turma da Monica: Lacos|False
The Two Popes|False
Unbelievable|True
Uncut Gems|False
Une fille facile|True
Unplanned|True
Us|True
The Wandering Earth (Liu Lang Di Qiu)|True
We Are Little Zombies|False
What Men Want|False
Where'd You Go, Bernadette|True
Wine Country|True
Yesterday|False
Zombieland: Double Tap|True
Zoombies 2|True
6 Balloons|True
A private war|False
A Quiet Place|False
A Simple Favor|True
A Star Is Born|False
A Wrinkle in Time|True
Alex Strangelove|False
Alpha|False
American Animals|False
An Elephant Sitting Still (Da xiang xi di er zuo)|False
Andhadhun|False
Andid edlilega (And Breathe Normally)|True
Annihilation|True
Ant-Man and the Wasp|True
Apostle|True
Aquaman|True
Assassination Nation|True
Au poste!|False
Avengers: Infinity War|True
Bad Times at the El Royale|False
The Ballad of Buster Scruggs|False
Bella Ciao!|True
Ben Is Back|True
Bird Box|True
Black 47|False
Black Panther|True
BlacKkKlansman|True
Blindspotting|False
Blockers|True
Bohemian Rhapsody|False
Book Club|True
Boy Erased|False
Bullitt County|True
Bumblebee|True
Burning|False
Cam|True
Can You Ever Forgive Me?|True
Carmen y Lola|True
The Chaperone|True
Christopher Robin|False
The Cloverfield Paradox|True
Cold War|True
Colette|True
Crazy Rich Asians|True
Creed II|True
The Darkest Minds|True
Dead in a Week: Or Your Money Back|False
Deadpool 2|False
The Death and Life of John F. Donovan|False
Deep Murder|True
Den of thieves|False
Deslembro|True
Destination Wedding|False
Destroyer|True
Dog Days|True
Don't Leave Home|True
Dude|True
Dumplin'|True
Early Man|False
Eighth Grade|True
En guerre|False
En liberte!|False
Fantastic Beasts: The Crimes of Grindelwald|False
The Favourite|True
fifty shade freed|False
First Man|True
First Match|True
The First Purge|True
Float Like A Butterfly|True
Free Solo|False
The Front Runner|False
Game Night|True
Genese|False
The Girl in the Spider's Web|True
Green Book|False
Greta|True
The Guernsey Literary and Potato Peel Pie Society|True
Halloween|True
The Happytime Murders|True
The Hate U Give|True
Hearts Beat Loud|True
The Heiresses|True
Hereditary|True
Hold the Dark|False
The Honor List|True
The House with a Clock in Its Walls|False
I Feel Pretty|True
I Like Me|True
If Beale Street Could Talk|True
In Fabric|True
Incredibles 2|True
Instant Family|True
Isle of Dogs|True
It's a Beautiful Day|False
Jane Fonda in Five Acts|True
Jefe|False
Johnny English Strikes Again|False
Jonathan|False
Jurassic World: Fallen Kingdom|True
Kaala|True
The Kissing Booth|True
L'animale|True
La chute de l'empire americain|False
Le monde est a toi|False
Leave No Trace|True
Les invisibles|True
Life of the Party|True
Lords of Chaos|False
Love per square foot|True
Love, Simon|False
Mamma Mia! Here We Go Again|True
The Man Who Killed Don Quixote|False
Mandy|False
Mary Poppins Returns|True
Mary Queen of Scots|True
Maze Runner: The Death Cure|True
McQueen|False
The Meg|True
Mid90s|False
The Miracle Season|True
The Miseducation of Cameron Post|True
Mission Impossible: Fallout|False
Mortal Engines|True
The Mule|False
My hero academia: Two heroes|True
My Little Pony Equestria Girls: Forgotten Friendship|True
My Little Pony Equestria Girls: Rollercoaster of Friendship|True
Nappily Ever Aftet|True
NIght School|True
The Nutcracker and the Four Realms|True
Ocean's 8|True
The Old Man & the Gun|False
On the Basis of Sex|True
Overboard|True
Pacific Rim: Uprising|True
Pass Over|False
Patient Zero|False
Please Stand By|True
The Predator|False
Quien te cantara|False
Raazi|True
Rafiki|True
Ralph Breaks the Internet|True
Rampage|True
Ready Player One|True
Red Sparrow|True
Robin Hood|True
Roma|True
Say My Name|True
Searching|False
Second Act|False
Set It Up|True
Sgt. Stubby: An American Hero|False
Sheherazade|True
Shoplifters|True
Sierra Burgess Is a Loser|True
Simmba|False
The Sisters Brothers|False
Skate Kitchen|True
Slender Man|True
Smallfoot|True
Solo: A Star Wars Story|False
Sorry to Bother You|False
Spider-Man : Into the Spider-Verse|False
The Spy Who Dumped Me|True
Stan & Ollie|True
Support the Girls|True
Suspiria|True
Swiped|False
Tag|True
Teen Titans Go! To the Movies|True
They Shall Not Grow Old|False
The Titan|False
Tito e os Passaros|False
To All the Boys I've Loved Before|True
Tomb Raider|True
Truth or Dare|True
Tully|False
Venom|False
Vice|True
Vox Lux|True
Welcome to Marwen|False
When We First Met|False
Widows|True
The Wild Pear Tree|False
Wild Rose|True
Wildling|True
Woman at War|True
You|True
Z-O-M-B-I-E-S|True
1922|False
47 Meters Down|True
6 days|False
A Bad Moms Christmas|True
A Christmas Prince|True
A Dog's Purpose|False
A Ghost Story|False
A man of integrity|True
A Man Wanted (Hatooly Ragel)|False
Alexander IRL|False
Alien: Covenant|True
All Eyez On Me|False
All the Money in the World|False
American Assassin|True
American Made|False
Amityville: The Awakening|True
Annabelle: Creation|True
Apostasy|True
Atomic Blonde|True
Ava|True
Baby Driver|False
The Babysitter|True
Band Aid|True
Batman vs. Two-Face|True
Battle of the Sexes|True
Baywatch|False
Beach Rats|True
Beatriz at Dinner|True
Beauty and the Beast|True
Before I Fall|True
The Beguiled|True
Berlin Syndrome|False
The Big Sick|True
Blade Runner 2049|True
The Book of Birdie|True
Borg vs McEnroe|False
The Boss Baby|False
The Breadwinner|True
The Bride|True
Bright|True
Burning Sands|False
Bushwick|True
The Bye Bye Man|True
Call Me by Your Name|True
Canaries|True
Captain Underpants: The First Epic Movie|False
Cars 3|True
Cherry Pop|False
The Circle|True
Coco|True
The Coin Heist|True
Cold Skin|False
Creep 2|False
Daddy's Home 2|True
Dance Academy: The Movie|True
The Dark Tower|False
Darkest Hour|False
Death Note|False
The Death of Stalin|False
Death Race 2050|True
Deidra & Laney Rob a Train|True
Descendants 2|True
Despicable Me 3|True
Detroit|False
Diary of a Wimpy Kid: The Long Haul|False
Dim the Fluorescents|True
The Dinner|True
The Disaster Artist|True
Disco|True
The Discovery|True
Disobedience|True
Djam|True
Downsizing|False
Dunkirk|False
El Camino Christmas|False
El libro de Lila|True
Embrasse-moi!|True
The Emoji Movie|False
The Endless|False
The Escape|True
Everything, Everything|True
The Fate of the Furious|True
Felicite|True
Ferdinand|True
Fifty Shades Darker|True
First Reformed|False
Fist Fight|True
The Florida Project|True
Flower|True
For Here or To Go?|True
The Foreigner|False
Fun Mom Dinner|True
Gekijoban Fairy Tail: Dragon Cry|True
Gemini|True
Geostorm|True
Gerald's Game|True
Get Out|True
Ghost in the Shell|True
Ghost Stories|False
Gifted|True
Girls Trip|True
The Glass Castle|True
God's Own Country|False
Godard Mon Amour|False
Going In Style|False
Good Time|True
Goon: Last of the Enforcers|False
The Greatest Showman|True
Guardians of the Galaxy Vol. 2|True
Happy Death Day|True
The Hitman's Bodyguard|True
Home Again|True
Hostiles|True
How to Be a Latin Lover|False
I Can Speak|True
I Don't Feel at Home in This World Anymore|True
I Kill Giants|True
I, Tonya|True
The Incredible Jessica James|True
Ingrid Goes West|True
Innan vi dor|True
It|True
It Comes at Night|True
Jesus, Bro!|False
Jigsaw|True
John Wick: Chapter 2|False
Jumanji: Welcome to the Jungle|True
Jusqu'a la garde (Custody)|True
Justice League|True
Karera ga honki de amu toki wa (Close Knit)|True
Kidnap|True
The Killing of a Sacred Deer|True
King Arthur|False
Kingsman: The Golden Circle|False
Kong: Skull Island|False
La llamada|True
Lady Bird|True
The Last Word|True
The LEGO Batman Movie|True
Life|True
The Little Hours|True
Logan|True
Logan Lucky|True
Loving Vincent|False
Lucky|False
The Mad Ones|True
The Man with the Iron Heart|False
Mark Felt: The Man Who Brought Down the White House|False
Marshall|False
Mary and The Witch's Flower|True
Mary Shelley|True
Maximilian|False
Mayhem|True
Megan Leavy|True
The Meyerowitz Stories (new and selected)|False
MFKZ|False
Molly's Game|True
Mom and Dad|True
Monster High: Electrified|True
Mother!|False
The Mountain Between Us|True
Mudbound|True
The Mummy|False
Murder on the Orient Express|True
My Cousin Rachel|True
My Friend Dahmer|False
My Little Pony: The Movie|True
Naked|True
Nogemu noraifu: Zero|True
The Nut Job 2: Nutty By Nature|True
Okja|True
OM+ME|True
On Body and Soul|True
The Only Living Boy in New York|False
Only the Brave|False
Paddington 2|True
Petit paysan|False
Phantom Thread|True
Pilgrimage|False
Pirates of the Caribbean: Dead Men Tell No Tales|False
Pitch Perfect 3|True
Plasmatic Day|False
Pokemon the Movie: I Choose You!|True
Posoki (Directions)|False
The Post|True
Power Rangers|True
Professor Marston and the Wonder Women|True
Psych: The Movie|True
The Punisher|False
Revelator|True
Revenge|False
Rings|False
The Ritual|False
Roman J. Israel, Esq.|True
Rough Night|True
Sand Castle|False
Seagull|True
Secret Superstar|True
seven sisters|True
The Shack|True
The Shape of Water|True
Sharknado 5: Global Swarming|True
Shelter|False
Signature Move|True
Singwa hamgge|False
Snatched|True
The Space Between Us|True
Spider-Man: Homecoming|True
The Square|False
Star Wars: The Last Jedi|True
Sweet Virginia|True
T2 Trainspotting|True
Table 19|True
That's Not Me|True
Thelma|True
Thor: Ragnarok|False
Thoroughbreds|True
Three Billboards Outside Ebbing, Missouri|True
To the bone|True
Transformers: The Last Knight|False
Tulip Fever|True
Tuntematon sotilas|True
Un beau soleil interieur|False
Unforgettable|True
Unicorn Store|True
Unlocked|True
Valerian and the City of a Thousand Planets|False
Verónica|True
Victoria & Abdul|False
The Wall|False
War for the Planet of the Apes|False
War Machine|False
What Happened to Monday|True
Wheelman|False
The Wife|True
Wilson|True
Wind River|True
Wish Upon|True
Wolf Warrior 2|False
Wonder|True
Wonder Wheel|True
Wonder Woman|True
xXx: Return of Xander Cage|True
You Get Me|True
You Were Never Really Here|False
10 Cloverfield Lane|True
10 Days In A Madhouse|True
13 Hours|False
20th Century Women|True
The 5th Wave|False
The 9th Life of Louis Drax|False
A Cure for Wellness|False
A Dark Song|False
A Monster Calls|True
A Quiet Passion|True
A United Kingdom|True
Absolutely Fabulous: The Movie|True
The Accountant|False
Adventures in Babysitting|True
Alice Through the Looking Glass|True
All Girls Weekend|True
Allied|True
Almost Christmas|True
Always Shine|True
American Honey|True
The Angry Birds Movie|False
Approaching the Unknown|False
Aquarius|True
Arrival|True
Aruvi|True
Assassin's Creed|False
The Autopsy of Jane Doe|False
Bad Moms|True
Ballerina|True
Bang Gang|True
Bar Bahar|True
Barbershop: The Next Cut|True
Batman v Superman: Dawn of Justice|False
Batman: Return of the Caped Crusaders|False
Batman: The Killing Joke|False
Be Somebody|True
Belgica|False
The Belko Experiment|True
Below Her Mouth|True
Better Watch Out|True
The BFG|True
Billions|True
Birkebeinerne|False
The Birth of a Nation|False
Blair Witch|False
Bliss!|True
The Boss|True
The Boy|True
Breathing Deep|False
Bridget Jones's Baby|True
The Brothers Grimsby|False
Busanhaeng|True
Cafe Society|False
Cam-Girl|True
Captain America: Civil War|True
Captain Fantastic|True
Catfight|True
Central Intelligence|False
Certain Women|True
The Choice|True
Christine|False
Collateral Beauty|False
Colossal|False
The Conjuring 2|True
Contratiempo|False
Courier X|False
Criminal|True
Crouching Tiger, Hidden Dragon: Sword of Destiny|True
Dad's Army|True
Dangal|True
The Darkness|False
Deadpool|False
Dear Eleanor|True
Deepwater Horizon|False
Demain tout commence|True
Denial|True
Dernieres nouvelles du cosmos|True
Die letzte Sau|False
Dirty 30|True
Dirty Grandpa|False
The Divergent Series: Allegiant|True
Divines|True
Doctor Strange|False
Don't Breathe|True
Don't Hang Up|False
Doukyuusei|False
The Dragon Spell|False
The Duel|False
The Eagle Huntress|False
Eddie the Eagle|False
The Edge of Seventeen|True
El Olivo|True
Electra Woman and Dyna Girl|True
Elle|True
Elvis & Nixon|False
Equity|True
Everybody Wants Some|False
Extremis|True
Fai bei sogni|False
Fantastic Beasts and Where to Find Them|True
Fences|True
Final Fantasy XV|True
Finding Dory|True
The Finest Hours|True
First Girl I Loved|True
Florence Foster Jenkins|True
The Forest|True
Free Fire|False
Free State of Jones|False
Friend Request|True
The Fundamentals of Caring|True
Ghostbusters|False
The Girl on the Train|True
The Girl with All the Gifts|True
Gods of Egypt|False
Grüße aus Fukushima (Greetings from Fukushima)|True
Grease Live!|True
The Great Wall|False
Hacksaw Ridge|False
Hail, Caesar!|False
Hairspray Live!|True
The Handmaiden (Ah-ga-ssi)|True
Hardcore Henry|False
Hated in the Nation|True
Hell or High Water|False
Hidden Figures|True
High Strung|False
Hounds of Love|True
House on Willow Street|True
How to Be Single|True
Hunt for the Wilderpeople|True
The Huntsman: Winter's War|True
Hurricane Bianca|True
Hush|True
I Am the Pretty Thing That Lives in the House|True
I Had a Bloody Good Time at House Harker|False
I, Daniel Blake|True
Ice Age: Collision Course|True
Ice Fantasy|True
In a Valley of Violence|False
Independence Day: Resurgence|True
Inferno|False
The Infiltrator|True
It's Only the End of the World|True
Jack Reacher: Never Go Back|True
Jackie|True
Jane Got a Gun|False
Jason Bourne|False
Julieta|True
The Jungle Book|False
Justice League vs. Teen Titans|True
Keanu|True
Keeping Up with the Joneses|True
Keijo!!!!!|True
Kill Command|False
Kimi no na wa.|True
King Dave|False
King of the Dancehall|False
Koe no katachi|False
Kubo and the Two Strings|False
Kung Fu Panda 3|True
L'età d'oro|False
La La Land|True
La pazza gioia|True
The Legend of Tarzan|False
Les innocentes|True
Let Me Go|True
Liberty's Secret|True
The Light Between Oceans|True
Lights Out|True
Lion|False
Little Door Gods|True
Little Sister|True
Live by Night|False
Locos de Amor|False
The Lost City of Z|False
Love & Friendship|True
The Love Witch|True
Loving|True
magnificent 7|False
Manchester by the Sea|True
Marauders|False
Martyrs|True
Masterminds|True
Maudie|True
Me Before You|True
Meet the Blacks|True
Middle School: The Worst Years of My Life|True
The Midnight Man|True
Midnight Special|False
Mike and Dave Need Wedding Dates|True
Miss Peregrine's Home for Peculiar Children|True
Miss Sloane|True
Moana|True
Money Monster|True
Monster High: Welcome to Monster High|True
Monster Trucks|False
Moonlight|False
Morgan|True
Mother's Day|True
Mr. Church|True
Mr. Right|False
My Big Fat Greek Wedding 2|True
My Life as a Zucchini|True
My Little Pony: Equestria Girls - Legend of Everfree|True
Ne gledaj mi u pijat|False
Neighbors 2: Sorority Rising|True
The Neon Demon|True
Neruda|False
Nerve|True
The Nice Guys|True
Nocturnal Animals|True
Norm of the North|True
Norman|False
Now You See Me 2|False
Nowhere Boys: The Book of Shadows|True
Office Christmas Party|True
Other People|True
Ouija: Origin of Evil|True
Our Kind of Traitor|True
Passengers|True
Paterson|False
Patients|False
The Perfect Match|False
Personal Shopper|True
Pet|False
Pete's Dragon|False
Petersburg: a selfie|True
Pink|True
Planetarium|True
Popstar: Never Stop Never Stopping|False
Prevenge|True
Pride and Prejudice and Zombies|True
The Purge: Election Year|True
Quand on a 17 ans|True
Queen of Katwe|True
Réparer les vivants|False
Raising the Bar|True
Raman Raghav 2.0|False
Ratchet & Clank|True
Raw|True
The Red Pill|True
The Red Turtle|False
Resident Evil: The Final Chapter|True
Ride Along 2|False
The Rocky Horror Picture Show: Let's Do the Time Warp Again|True
Rogue One|True
Rustom|True
Sausage Party|True
The Secret Life of Pets|False
Sensitivity Training|True
Seoulyeok [Seoul Station]|False
The Shallows|True
Shin Godzilla|False
The Siege of Jadotville|False
Silence|False
Sing|True
Sing Street|False
Snowden|False
Southside with You|False
Spa Night|True
Spidarlings|True
Split|True
Star Trek Beyond|False
Storks|False
Stranger Things|True
Suicide Squad|True
Sully|False
Swiss Army Man|False
Tallulah|True
Teenage Mutant Ninja Turtles: Out of the Shadows|True
Tenemos la carne [We Are the Flesh]|False
Their Finest|True
Things to come - L'avenir|False
Thomas & Friends: The Great Race|True
Toni Erdmann|True
The Transfiguration|False
Triple 9|True
Trolls|True
True Memoirs of an International Assassin|False
Tschick|False
Un homme a la hauteur|True
Una|False
Under The Shadow|True
Underworld: Blood Wars|False
The Untamed|True
Vampires In Virginia|True
Varoonegi|True
Vier gegen die Bank|False
The Void|True
Voltron: Legendary Defender|True
War Dogs|False
War on Everyone|True
Warcraft|True
Whiskey Tango Foxtrot|True
Wiener-Dog|False
Women Who Kill|True
X-Men: Apocalypse|True
Yoga Hosers|False
The Young Offenders|True
Zoombies|True
Zootopia|True
The 33|True
The 3Tails Movie: A Mermaid Adventure|True
45 Years|True
600 millas [600 Miles]|False
7 Letters|True
A Country Called Home|True
A Little Chaos|True
A Perfect Day|False
A Royal Night Out|True
A Sort of Homecoming|True
A Walk in the Woods|False
Absolutely Anything|True
Advantageous|True
After the Ball|True
AfterDeath|True
The Age of Adaline|True
Almost Mercy|False
Aloha|True
Already Tomorrow in Hong Kong|False
Alvin and the Chipmunks: The Road Chip|False
American Ultra|False
Anamolisa|False
Angry Indian Goddesses|True
Anguish|True
Anna Unbound|True
Ant-Man|False
Atrapa la bandera [Capture the Flag]|False
Ava's Possession|True
Avengers: Age of Ultron|True
Avril et le monde truque|True
Baahubali: The Beginning|False
Bad Hair Day|True
Bajirao Mastani|False
Barely Lethal|True
Batman Unlimited: Animal Instincts|False
Battle For Sevastopol|True
Battledream Chronicle|True
Beasts of No Nation|False
Bessie|True
The Big Short|False
Bill|False
Birigyaru|True
Black Mass|False
The Blackcoat's Daughter|True
Blackhat|False
Bloodsucking Bastards|False
Boi Neon|True
Bound|True
Bridge of Spies|False
The Bronze|True
Brooklyn|True
brothers of the wind|False
Burn Burn Burn|True
By the Sea|True
Captive|True
Carol|True
The Case of Hana and Alice|True
Chappie|False
Chi-Raq|True
Child 44|False
Cinderella|True
The Colony|False
Comment c'est loin|False
Comoara|False
Concussion|True
Creed|False
Crimson Peak|True
Daddy's Home|False
The Danish Girl|True
Demolition|False
Descendants|True
The Diary of a Teenage Girl|True
Do You Believe?|True
Dofus - Livre 1: Julith|True
Dolly Parton's Coat of Many Colors|True
Dope|False
Dora oder Die sexuellen Neurosen unserer Eltern|True
Dragon Ball Z: Resurrection 'F'|False
The Dressmaker|True
Drunk Wedding|False
The DUFF|True
The Duke of Burgundy|True
Eaters|False
Embers|False
Emelie|True
The End of the Tour|False
Entourage|False
Equals|True
Everest|False
Evolution|True
Ex Machina|False
Experimenter|False
Eye in the Sky|True
Family Fang|True
Fantastic Four|False
Far From the Madding Crowd|True
Fathers & Daughters|True
Feeheld|True
Fifty Shades of Grey|True
The Final Girls|True
Focus|False
The Four Warriors|False
Fourth Man Out|False
Frau Muller muss weg|True
Full Out|True
Furious 7|True
Get Hard|False
Ghosthunters|True
The Gift|True
The Girl King|True
Girls Lost|True
The Good Dinosaur|True
Goosebumps|False
Grandma|True
The Great Gilly Hopkins|True
The Green Inferno|True
Green Room|True
The Gunman|False
Halal Love|True
Harbinger Down|True
Harter Brocken|True
The Hateful Eight|True
Hedi Schneider steckt fest|True
Hello, My Name Is Doris|True
Hidden|True
High Rise|False
Highway to Hellas|False
Hitman: Agent 47|False
The Hollow|True
Home|True
Hot Pursuit|False
Hotel Transylvania 2|True
Hrutar|False
The Hunger Games: Mockingjay - Part 2|True
I'll See You in My Dreams|True
Il racconto dei racconti|True
In the Heart of the Sea|False
Inside Out|True
Insidious: Chapter 3|True
Insurgent|True
The Intern|True
Into the Forest|True
Intruders|True
Invisible Sister|True
Irrational Man|False
Je suis un soldat|True
Jem and the Holograms|True
Joy|True
Jupiter Ascending|True
Jurassic World|True
Just Jim|False
Justice League: Throne of Atlantis|True
Krampus|True
Kung Fury|False
L'antiquaire|True
L'attesa|True
La belle saison|True
La loi du marché|False
La memoria del agua|False
La Passion d'Augustine|True
The Lady in the Van|True
Last Knights|False
The Last Witch Hunter|True
Lavalantula|True
The Lazarus Effect|True
Legend|True
Les ogres|True
Little Big Master|True
The little prince|True
Liza, the fox fairy|True
The Lobster|True
London Spy|False
Long Way North|False
The Longest Ride|True
Louder Than Bombs|False
Love Live! The School Idol Movie|True
Love the Coopers|True
Macbeth|False
Mad Max: Fury Road|True
Madame Bovary|False
Maend & hons|False
Maggie's Plan|True
Magic Mike XXL|True
The Man from U.N.C.L.E.|True
Man Up|True
The Man Who Knew Infinity|False
Marguerite|True
The Martian|True
Maryland|False
Max|True
Maze Runner: The Scorch Trials|True
Me and Earl and the Dying Girl|True
Meadowland|True
The Meddler|True
Miles Ahead|False
Milyy Khans, dorogoy Pyotr|False
Min lilla syster|True
Minions|True
Miss You Already|True
Mission: Impossible - Rogue Nation|False
Mistres America|True
Mojave|False
Mortdecai|False
Mr. Holmes|False
The Murder Pact|True
Mustang|True
My Little Pony: Equestria Girls - Friendship Games|True
Mythica: The Darkspore|True
Never Let Go|False
Next Stop L.A.|True
Nil Battey Sannata|True
Office|True
Other Halves|True
Our Little Sister|True
The Overnight|True
Pan|False
Papertowns|False
Parched|True
Paul Blart: Mall Cop 2|False
Pawn Sacrifice|False
The Peanuts Movie|True
The Perfect Guy|False
Phoenix Incident|False
The Phoenix Project|False
Pitch Perfect 2|True
Pixels|False
Point Break|False
Portrait of a Serial Monogamist|True
Predator Dark Ages|False
Psychosis|True
Que Horas Ela Volta?|True
Queen of Earth|True
The Reason I Shop Online|True
The Revenant|False
Riaru onigokko|True
Ricki and the Flash|True
The Ridiculous 6|False
Roald Dahl's Esio Trot|False
Room|True
Run All Night|False
San Andreas|True
Schneider vs. Bax|False
Scouts Guide to the Zombie Apocalypse|False
The Second Best Exotic Marigold Hotel|True
Self/less|False
Septembers of Shiraz|True
Sharknado 3: Oh Hell No!|True
Shaun the Sheep Movie|False
Shisha no teikoku (Empire of Corpses)|False
Sicario|False
The Sin Seer|True
Sisters|True
Sleeping with Other People|True
Slow Learners|True
Slow West|False
Southpaw|False
Spectre|False
The SpongeBob Movie: Sponge Out of Water|False
Spotlight|False
Spy|True
The Stanford Prison Experiment|False
Star Wars: The Force Awakens|True
The Steps|True
Steve Jobs|True
Stitcher|False
Straight Outta Compton|False
Strange Magic|True
Suffragette|True
The Summer of Sangaile|True
Sunset Song|True
Survivor|True
Sweet Bean|True
Synchronicity|False
Tangerine|True
Taxi|True
Ted 2|False
Teen Beach 2|True
Tempête|False
Terminator Genisys|False
Testament of Youth|True
They Call Me Jeeg Robot|False
This changes everything|True
The Three Es|True
Throne|True
Tiger House|True
Till We Meet Again|True
Timelike|True
Titli|False
Tjuvheder|True
Tod den Hippies!! Es lebe der Punk!|False
Tomorrowland|True
Trainwreck|True
The Transporter Refueled|True
True Story|False
Trumbo|True
Trust Fund|True
Turbo Kid|False
Un peu, beaucoup, aveuglement!|True
Uncanny|False
Unexpected|True
Unfinished Business|False
Until Dawn|True
Vacation|True
Vampyres|True
VANish|False
Victor Frankenstein|False
Victoria|False
The Visit|True
The VVitch: A New-England Folktale|True
The Walk|False
The Wave (Bølgen)|True
The Wedding Ringer|True
Wo shi zheng ren|False
Woman in Gold|True
World of Tomorrow|True
You're My Boss|False
Youth|False
Z for Zachariah|False
'71|False
22 Jump St|False
3 Days to Kill|True
300: Rise of an Empire|False
5 Flights Up|True
A Brilliant Young Mind|False
A coup sur|False
A Girl Walks Home Alone at Night|True
A Long Way Down|True
A Million Ways to Die in the West|False
A Most Violent Year|True
A Most Wanted Man|False
A Noite da Virada|True
A Walk Among the Tombstones|False
About a Girl|True
About Last Night|False
The Adventurer: The Curse of the Midas Box|False
Agatha Raisin: The Quiche of Death|True
Alexander and the Terrible, Horrible, No Good Very Bad Day|True
Alles Inklusive|True
Aloft|True
Alpha House|False
Amazing Spider-Man 2|False
American Sniper|False
Amour fou|False
Anatomy of a Love Seen|True
Angry Video Game Nerd: The Movie|True
Annabelle|True
Annie|True
Appropriate Behavior|True
Ardor|False
As Above So Below|True
Asian School Girls|True
Ask Me Anything|True
Atlas Shrugged: Who Is John Galt?|True
Automata|False
Avis de mistral|True
The Babadook|True
The Bag Man|False
Barbie and the Secret Door|True
Barbie: The Pearl Princess|True
Barefoot|True
Batman: Assault on Arkham|True
Before I Go to Sleep|True
Before We Go|True
Begin Again|True
Belle|True
Better Living Through Chemistry|False
Beyond the Lights|True
Big Eyes|True
Big Game|False
Big Hero 6|True
Birdman|True
Black Sea|False
Blended|True
The Book of Life|True
The Boxtrolls|False
Boy Meets Girl|True
Boyhood|True
Brick Mansions|True
Cake|True
Calvary|False
Camp Takota|True
Captain America: The Winter Soldier|True
Cesar Chavez|True
Chef|False
Citizenfour|False
Clouds of Sils Maria|True
Clown|True
Comet|False
Conducta|True
Cooties|False
Court|False
Creep|True
Cuban Fury|False
Cut Bank|True
Da Sweet Blood of Jesus|True
The Damned Thing|False
Dark Was the Night|False
Date and Switch|False
Dawn of the Planet of the Apes|False
Dead Girls|True
Dead Snow 2|True
Dear White People|True
Deliver Us From Evil|False
Der kleine Drache Kokosnuss|False
Der Kleine Medicus - Geheimnisvolle Mission im Korper|True
Der Kreis|False
The Disappearance of Eleanor Rigby: Her|True
The Disappearance of Eleanor Rigby: Them|True
Divergent|True
Dohee-ya|True
Dolares de arena (Sand Dollars)|True
Dolphin Tale 2|True
Dracula Untold|False
Draft Day|False
The Drop|False
Dumb and Dumber 2|True
Dyke Hard|True
Earth To Echo|False
East Side Sushi|True
Eat with Me|True
Edge of Tomorrow|False
Effie Gray|True
Ei Kiitos|False
Ein Geschenk der Gotter|True
Ek Villain|False
El Niño|False
Electricity|True
En duva satt på en gren och funderade på tillvaron|False
The Equalizer|False
